ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_instructions,rt_trial,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_debrief,total_time,urgent,sympathy,peace,guilty,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
2mbh75xmh3wkw1qqy03z,20,male,journey,15278,34398,49847,7491,6976,3790,3289,4439,3551,17486,3750,33492,4186,23638,212291,3,4,4,1,N,Y,F,B,25-50k,Y,54,how people with relatives or personal cancer experience donate more than those who have no one close to them with the disease,no
2quwpjc489gdxrzf7hp6,15,female,literal,3832,27884,66603,41648,7832,3956,2638,4209,2350,12107,3824,2023,836,17204,197754,4,4,4,2,N,Y,F,P,50-75k,Y,NA,,
2vqfn32drxencqqg7c4c,5,male,journey,14454,37116,15558,4663,2252,9396,27012,3860,1664,7115,4331,2782,935,8909,141270,3,6,6,4,N,Y,F,A,25-50k,Y,31,,
3dn2ykz4gzz3qqxjoo6f,0,male,journey,49784,15028,24326,7839,3843,1942,2167,3789,2581,32440,3629,6055,4799,9315,167853,4,4,4,2,N,N,M,B,50-75k,Y,43,compassion?,Thank you
3o0uym6hdnhlzt6zsgya,3,female,battle,9728,37915,142242,6151,3336,7050,7065,3074,7363,17480,5475,2338,1687,13131,264764,5,5,4,1,N,N,F,B,25-50k,Y,35,,
3zt2lq8cb31wav44gr4g,35,female,literal,66878,43501,106779,11955,4630,11358,5401,3773,6861,20267,4224,30267,8063,37759,363028,3,3,3,0,N,N,F,HS,<10k,Y,28,"Whether people were willing to donate more if they'd had past experiences with cancer, either personal or remote?",
48gybdc4sct77fxozk07,27,female,battle,8941,16626,21277,9708,12193,8118,9829,9220,5812,18749,5629,3354,2815,17176,149948,4,4,4,3,N,Y,M,B,50-75k,Y,25,,
4d9y7uf6rt7os26ep39o,40,female,battle,10800,33017,24207,5248,2558,2355,2382,4833,6603,89082,10997,10361,5610,6430,215084,5,3,2,5,N,N,F,HS,50-75k,Y,29,I'm not sure.,No
4edabr05cqfzfzycfpjb,5,female,battle,7311,21277,41372,10210,3327,4502,4354,2680,2709,10211,3261,2526,1194,25229,141020,4,4,5,2,N,Y,F,A,10-25k,Y,37,,
4m059x4yu4a4hwe5srpl,45,male,literal,57751,48858,127100,8776,9236,4005,3806,3102,4837,18523,4726,43159,95245,49161,478704,4,4,3,0,N,Y,F,M,25-50k,Y,54,The response to the wording of the fundraiser.,"If there really is a drawing, and if I won, I really would want $45 of the $50 donated to a cancer patient, although I have my doubts about whether it is true or not."
545sfx76x6kx341qc65l,10,male,literal,10437,16005,36684,8645,9521,4114,4962,5252,1730,8428,2822,1792,1323,39061,151209,5,4,1,3,N,N,M,B,25-50k,Y,25,,
5b4v3l0umq0gfzm18l0c,0,female,journey,33278,70385,90964,14039,7541,2596,5930,24630,2091,16392,4805,13212,1616,3989,291852,5,6,1,3,N,Y,M,B,<10k,Y,36,,
5bxgv1uapsbdscdzmr6r,25,male,journey,90273,47154,43955,6623,8145,2946,4149,5417,2705,12147,7416,13529,2690,6048,253736,5,6,3,3,N,Y,F,A,25-50k,Y,58,I'm really unsure.,
5p6tkz6w2lj43uugnc74,5,male,journey,3716,12621,17067,8407,3196,2066,9080,1814,2486,5749,2565,7563,1893,1564,80215,6,5,4,1,N,N,M,B,50-75k,Y,32,measuring choices and opinions,thanks
5py3oftebwo8f29qp6yk,20,male,journey,35030,65558,75489,10999,23661,10603,5527,16259,4012,21908,5159,91251,53902,50467,470546,6,6,5,1,Y,Y,F,B,75-100k,Y,48,I think you might have been testing for peoples level of generosity or giving to strangers versus the possibility of a higher personal reward. ,Interesting study. I think it would be also interesting to know how people would respond if it was framed as a family member or as someone they know. I would guess people would give up much more of the money up front. 
5qlkks318jkxpb0gkdbt,28,male,battle,169904,6900,8442,16027,15955,15044,2384,3067,7192,9579,19352,2753,1861,25442,306187,4,4,3,3,N,Y,M,B,100-150k,Y,40,,
5yls8jnycc1sm9nx3840,25,male,battle,16394,39736,94060,27743,10181,7589,7788,10531,6793,16866,5445,53456,26849,43652,371684,6,6,0,0,Y,N,M,P,>150k,Y,25,testing how people feel toward what they read.,i would like to donate for jason.
68p5gxoz7f6a69058cpm,13,female,journey,4398,3968,4487,3005,2084,3220,1743,2904,1604,6099,3522,25852,1141,8011,72551,3,4,2,2,N,N,F,HS,10-25k,Y,21,,
6bfb0dlcvjhrga18c98v,25,female,literal,11623,36531,30356,5457,2814,5168,4127,2650,3470,31474,10218,2371,3860,4846,155535,5,4,4,1,N,N,M,B,25-50k,Y,58,,
6gl8jput3opwqz51jbvy,0,female,journey,4888,13084,5543,3213,1956,2989,2243,1521,2324,5862,2036,1224,705,3112,51189,3,1,4,0,N,Y,F,B,50-75k,Y,24,,
6l7yd7lvbjdwplpbwxj6,4,female,literal,4009,25333,61533,9066,4894,8325,3246,3102,2669,7515,3941,13762,76567,4907,229258,5,6,5,0,N,Y,F,B,25-50k,Y,55,I'm not sure. ,My Mom died last month from CLL (chronic lymphcytic leukemia) after having been diagnosed 6 years ago and she'd been through several chemo and targeted therapies. It turned aggressive on her in the last year. 
6pnqgm27q3wexos9ohmy,0,male,literal,17168,8544,3892,4975,1254,1838,919,11732,1712,4693,1784,2287,1335,1159,63557,1,1,4,3,N,Y,M,A,75-100k,Y,19,I do not know.,No
7188m5sm7uepl0ywgqwn,4,female,journey,1455748,110631,19541,23292,7768,43733,2602,2699,3769,11595,2742,2276,1861,4261,1692817,5,6,2,3,N,Y,F,HS,<10k,Y,29,,
754fmu3tengew9o63hua,5,male,battle,5812,18079,10389,7572,2492,1845,3177,3472,1883,10896,3709,2640,1547,5245,79232,3,4,3,2,N,Y,M,HS,25-50k,Y,28,,
7bjzhnv0c36cn7sq51j1,0,male,literal,4086,12844,12540,6366,4485,15183,3721,3088,3321,10165,4407,22018,1249,7344,111259,5,6,3,4,N,N,M,HS,50-75k,Y,25,,
7hsz1h2l64b0n5crpgle,36,male,battle,11046,8354,13312,5071,7616,3624,2630,3638,20692,17660,16282,61838,18065,11483,205275,5,5,5,5,Y,Y,M,M,25-50k,Y,34,good,good survey
7km221u3oq1gxwnjpd4r,5,male,literal,6629,19883,42828,6000,6850,10933,2940,4566,2136,7089,4788,5021,1913,7880,129710,2,5,4,5,N,Y,M,B,25-50k,Y,37,Not sure.,
7rktqp1s43txxp9av55k,10,female,journey,3675,16327,24766,5175,3993,2916,2322,3153,2750,7543,2837,2178,1008,5576,84680,5,4,5,3,N,Y,F,B,10-25k,Y,37,,
81g7l0squnjfvpgunax9,50,female,journey,3397,27065,45785,10757,2364,3663,9840,2346,2780,6969,3080,2009,967,3448,125012,6,6,5,1,N,Y,M,M,25-50k,Y,37,,
92j38w20drah2zvsu0xy,26,female,battle,26821,5741,15327,5183,1362,3172,2082,2028,1917,6046,3495,1338,1779,11630,91930,4,3,4,3,N,N,M,B,75-100k,Y,25,,
9fxtcsmq2702jjcb9t6o,10,male,journey,18269,32348,85920,13614,2811,2148,1602,2959,2634,7269,3269,5067,4957,14749,199513,6,6,2,6,N,Y,F,B,25-50k,Y,31,I'm not sure.,
9jhrvg7dem0j5198jdoc,0,female,literal,7171,31986,54495,8905,2747,3000,2819,2140,1583,7597,4332,1529,2155,4893,135646,5,5,4,1,N,N,M,B,25-50k,Y,31,,
9lmyj4279b9bwzapomla,0,male,literal,3421,16456,80218,6793,2663,4396,5545,2246,1954,4822,3371,1723,1023,4018,138811,6,3,5,6,N,N,M,HS,10-25k,Y,27,,
9m9uxgnyy3tooqv0q44d,30,male,journey,6765,43041,56530,6782,6980,3069,4638,5331,1796,6610,3042,17438,1732,2686,166963,6,6,6,0,N,N,F,A,75-100k,Y,46,To understand how much people are willing to donate.,
9mnvpq5xymhrzsrt04kg,0,female,journey,8223,23198,51329,8585,4409,2882,3096,2306,2162,7176,3222,17753,3115,4291,142070,3,5,3,1,N,N,M,B,50-75k,Y,36,generosity based on the content of the fundraising message or maybe who wrote it,
9sbunje3bzqmqs1799ns,50,male,battle,16963,29754,55088,32222,6104,3257,8059,2889,3593,11653,4367,2920,1627,5340,184431,6,6,2,2,N,N,F,B,25-50k,Y,35,,
9t9yoef71vohh8jmnm5c,10,male,literal,4231,27105,39490,7033,3115,2750,3365,2215,2523,10056,2267,4383,4526,2951,116716,6,6,4,0,N,N,F,HS,25-50k,Y,36,I'm not sure.,None
9vvt3ed503o6hqo0kv40,2,male,battle,10019,23200,48334,7376,7445,4590,3669,4473,2914,11730,3304,52984,1410,20841,202717,5,6,5,3,N,Y,M,B,50-75k,Y,27,I'm honestly note sure. Perhaps how different people may be more generous if they have had a similar type of exposure?,
a56ajag43y7mkgqhl6dv,25,male,literal,62926,18670,43276,9915,3404,3062,4635,3128,2731,9986,2921,7830,1586,9753,184444,3,5,3,2,N,Y,M,A,50-75k,Y,31,see if we'd donate depending on the circumstances,
acljumtd5myppe89uz5b,0,female,journey,3763,21294,36292,87446,3236,4038,1357,3846,1211,13516,6045,1349,842,4088,188819,5,4,5,6,N,N,M,HS,50-75k,Y,23,,
alxytaqsy2js1mpc8z7z,10,male,battle,8004,25208,22616,7208,5969,6599,4054,3935,2160,13892,3642,10408,2414,20538,136895,4,5,4,5,N,N,M,HS,25-50k,Y,37,generosity?, 
aog1khr6zlhvd5ub9xso,0,female,literal,546238,214423,30167,4240,3461,2767,1853,2209,1890,5119,3749,1522,892,2063,821091,4,5,3,1,N,N,M,B,25-50k,Y,29,,
asd7nuj29xmu48sw9bku,10,female,journey,13408,50707,26377,9089,4699,1972,2500,3278,2465,15871,3321,21134,29197,6781,191604,4,5,4,4,N,Y,F,HS,25-50k,Y,56,How generous we feel the need to donate to others.,"Thanks, the cure for cancer is there already. The hospitals just don't want to use it. "
b6p491zu2tw7rzdq25o3,30,female,battle,6808,32916,79739,13361,12349,7797,8640,4332,2813,15228,3804,4669,1910,3987,198623,5,4,3,5,N,N,M,A,25-50k,N,32,,
b90cbbte6xfwmtge7aup,31,male,battle,11385,6230,3350,2005,2193,2228,4358,3848,4751,9300,4761,31550,3729,8604,106952,4,3,4,3,N,N,F,B,50-75k,Y,27,"nice experiment .
i want participate to this experiment daily give me.",nice
baccwmbu85jzeagn92ll,5,male,literal,4383,18502,24165,4817,6086,4214,2338,3028,2040,9537,2934,1662,1050,2488,87893,1,3,5,0,N,Y,M,B,25-50k,Y,42,,
bbc2avl9kppu4atvnfvf,0,male,literal,3377,11084,93135,5525,2175,3054,5256,5518,3048,11386,3894,2574,1367,6924,158446,5,5,3,2,N,N,M,B,50-75k,Y,33,,
bw0vnmcrvgvb32zt605x,36,male,journey,57505,52873,39646,13063,14580,4669,3476,10504,11434,24122,27356,6243,2737,19283,287950,0,4,3,4,N,Y,M,B,25-50k,Y,24,,
cb08msyjmo4k9q2cd7an,35,female,journey,3495,7206,18693,7508,2768,3722,2530,1744,1710,7059,2452,2032,938,2038,65179,5,3,4,2,N,N,M,B,50-75k,Y,28,,
cdbwdh48cj3aydpt50b9,5,male,literal,14472,42144,112173,7034,4675,8178,6741,9465,3202,11506,3401,16356,4969,6425,251864,4,5,2,2,N,N,M,A,25-50k,Y,33,Trying to find out how much people would donate if given the choice.,"NA"
ce8oter8ooef43p58qo9,10,female,literal,9501,68530,82118,12399,16342,4351,3839,5069,3270,10178,10230,2134,1183,18812,250390,6,6,6,5,N,Y,M,M,>150k,Y,50,,
cgjtlulv7uqfmdaf5bpw,0,male,battle,3003,6867,15356,5220,3813,31190,5309,3108,1821,5875,2964,1406,1438,4255,91843,5,5,4,2,N,Y,M,HS,10-25k,Y,31,,
chnhrroj7991ul76off2,0,female,literal,3990,23942,15604,44130,5425,2128,4030,3298,7435,7132,4818,3322,1046,3048,129813,3,2,4,2,N,N,M,HS,10-25k,Y,30,,
cmq4uc4nvzk0a3h5lhrt,50,female,battle,4278,9302,16283,8405,2648,3549,4869,3443,1880,9149,2996,2896,1168,12910,84233,4,5,4,2,N,Y,F,HS,<10k,Y,36,,
cto7km6p384hhtwmk520,0,female,journey,14314,16817,16730,12878,5949,3258,6668,4214,3564,10162,9846,4746,13640,3307,126382,3,5,5,3,N,N,F,B,75-100k,Y,26,not sure,"everything went fine, no issues"
cyspv13omqwmrc4uxxtg,4,male,journey,4616,46396,139537,11249,3614,16891,5676,3713,3455,13417,3004,2846,1680,35069,291914,5,5,4,4,N,Y,F,HS,10-25k,Y,55,,
efwu9dzfl25ac1a8td3m,50,female,journey,209142,48658,78974,10046,12487,4276,5727,2525,2710,10063,4046,51062,60263,10201,512137,6,6,3,0,N,Y,M,P,75-100k,Y,37,Reading and responding to questions about donations,Cool survey! I hope I'm selected in the drawing so I can donate all to Jennifer.
el0yjwj1dxrprafnrj58,30,male,literal,62142,70806,138326,36835,4060,7156,5061,8643,3403,10714,5766,18638,16438,42429,430965,6,6,3,5,N,Y,F,HS,<10k,Y,44,,No comments.  Thanks!
epvknq5p9bw6xrsz2t9o,50,female,journey,2335,13893,19567,3647,3911,4911,3799,2303,1583,7569,3215,4296,1455,1937,74765,5,5,3,1,N,Y,M,HS,25-50k,Y,29,I don't know.,
esccnqk5qw9y3ktq4sgk,37,male,battle,42994,10782,24862,6546,3993,3500,4472,7483,4424,12955,8847,27825,15692,9388,193876,4,5,5,4,Y,Y,M,B,10-25k,Y,30,yes wonderful experience ,nice this task
ex0efh9amz88s6rrmgbf,50,female,journey,10947,28309,31959,6180,8065,5928,2644,3846,2388,10995,3564,3103,1819,9080,129501,6,6,4,1,N,N,F,B,50-75k,Y,28,,
fjjcnvj3nb9qy555zaq1,5,female,battle,2991,32032,56947,13228,5637,3365,2502,2540,2984,8002,3361,19025,2748,8425,164031,6,5,3,4,N,Y,M,M,25-50k,Y,27,Compassion for people who have experienced cancer in their life vs. not. ,N/A
fnct3128to7eufbjp7sf,15,male,journey,4906,29245,17993,5928,4642,6466,4412,3893,2688,8104,4352,1787,1097,4834,102011,4,5,5,4,N,N,M,M,25-50k,Y,35,,
frol78a3dhe0d00o2vjh,0,female,battle,2882,16219,21454,4960,11090,3352,2793,3079,2746,7918,3392,18343,1524,3050,103204,5,3,4,2,N,N,F,A,50-75k,Y,34,Sympathy and donor behavior,
g1hzbep0b8hoy0vmtqz0,31,female,battle,121144,11539,3179,1996,919,2351,750,2172,1222,4773,3334,1811,337,1328,157372,6,0,3,4,N,N,M,M,50-75k,Y,25,,
g6x4u2w0m7hw8ygs92c2,0,female,journey,107575,40481,34883,9685,6861,6579,4556,3920,2478,13925,3337,102614,3916,5133,346425,2,6,3,3,N,Y,F,HS,50-75k,Y,30,"To see what people will donate while having little facts. I put zero for example but I'm not cold hearted. I just didn't have enough details like how much insurance covers, if she has insurance, etc. Without that info I would not feel comfortable donating. I would rather donate the amount myself to cancer research because I know exactly where it is going.",no
gf9bezlgo8vla1ukf97v,0,male,journey,4858,26893,19360,6570,6031,3384,3648,4079,2453,26237,4916,2096,1642,5486,118383,3,1,2,2,N,N,M,B,50-75k,Y,30,,
ghpdvhkas4owm5dasn2d,38,male,battle,8844,11258,12094,11462,11353,5914,34225,23392,7881,19718,33698,40248,24529,11265,258213,6,6,0,0,N,N,M,M,25-50k,Y,30,HEALTH,GOOD
gjymqa64gyscw2qdqugq,0,female,literal,9989,28903,56014,10197,5854,5166,3758,4325,2318,11168,3230,12375,3399,26475,183454,2,3,3,0,N,Y,F,P,100-150k,Y,40,not sure ,no
gkgko2fveq25jz2f6rjs,30,female,battle,6150,40716,23775,8887,2940,4757,2318,2460,2116,6715,2181,2310,2031,4397,112187,4,5,4,4,N,N,M,HS,50-75k,Y,33,ty,ty
goa3b1jrumjyczqd8z5v,0,male,journey,3656,12987,24449,4140,3656,3632,2007,2555,2156,7475,3925,16188,4914,6039,98293,4,3,3,3,N,N,M,M,50-75k,Y,32,whether a story would make you donate even though you do not know the person.,thanks for the survey
h0jkbufsos3m5sor9433,34,male,battle,122448,6097,3063,1923,1673,866,600,1357,2200,16744,3889,843,405,1112,163807,3,2,4,6,N,N,F,M,50-75k,Y,40,,
h1qbu48qb8ss5wrmqj0a,0,female,journey,57059,21551,9528,5881,3015,2233,3819,4221,3334,10299,5376,1288,1248,2460,131484,4,1,5,2,N,Y,M,B,25-50k,Y,25,,
h32g87ptkfep6bu1pocs,40,male,battle,6888,23340,38906,4874,5541,4606,4207,2211,3991,16867,2523,1786,941,1449,118479,6,6,4,1,N,N,M,HS,10-25k,Y,24,,
h6vyrpk5u8zamcgyp20n,4,female,battle,9525,53400,40386,4560,3868,2893,6522,2793,2616,8707,4400,3378,1154,14390,159196,5,2,0,0,N,N,F,B,<10k,Y,26,,
hfwtbeqk0tsww6bzrmob,20,male,battle,25805,43043,75191,15534,8500,3508,7813,3356,2596,13561,4060,56334,4671,44684,309025,4,5,3,0,N,Y,F,HS,<10k,Y,42,I'm honestly not sure. Maybe to gauge a person's reactions to crowdfunding for medical treatment?,Thank you!
hhz19vr55ourmbacoz6r,0,male,battle,6513,60458,414462,4670,11590,4438,1998,2669,2166,6728,3214,3087,1774,4701,529071,3,3,3,0,N,N,M,A,50-75k,Y,47,,
hkv9y3dv3zhr3vgp7aku,0,female,battle,18473,109812,40364,6025,23331,4697,3256,3581,3852,13332,4280,2037,1027,3073,237465,4,0,3,0,N,Y,M,B,50-75k,Y,35,,
hoxoxdu2hmyxbr837lud,10,male,battle,23569,36169,93481,11288,6784,3928,3660,2918,3372,12237,5684,17598,2287,43894,267848,5,6,5,1,N,Y,F,HS,<10k,Y,61,I'm not sure....maybe something about sympathy?,
hpc2dcfw5ekno8swpqkk,0,male,battle,5221,20521,77114,5667,2489,4730,3674,2729,2417,16578,166184,12164,1715,2145,324024,6,6,3,3,N,Y,F,B,<10k,Y,37,,
hpqrwb2cnmnh40fxa5y9,5,male,battle,4760,52935,76296,14176,15940,8005,4527,4551,6817,12770,7135,2727,2269,18590,232093,6,6,4,3,N,N,M,HS,10-25k,Y,60,,
jbmnhkllla2o5yg5ughn,31,female,battle,126283,20424,13654,4868,6195,5391,4826,11318,5504,285307,8317,3351,1362,24284,524189,6,5,4,4,N,Y,F,B,75-100k,Y,27,,
jqud8d49v98d0rrwnhys,15,female,literal,4830,21760,21059,7884,3217,2814,1878,3952,4801,10803,4478,25204,9285,5049,127228,5,5,5,3,N,Y,F,B,75-100k,Y,25,PEOPLE'S WILLINGNESS TO MAKE MONETARY CONTRIBUTION IN EMERGENCY CASES. ,INTERESTING AND FUN SURVEY
jqvcpknlc95z823ogf3c,5,male,literal,5707,110009,81699,12108,8031,5889,3344,5501,3065,11887,3480,3701,2195,2359,259511,6,6,3,0,N,Y,M,HS,25-50k,Y,42,,
juhjc2q8wv9jwmf9gucf,10,male,battle,8242,43514,25600,3558,1550,1881,1635,2114,3333,6766,4402,1716,1078,4674,110342,5,5,4,4,N,N,M,B,10-25k,Y,30,,
juodaa7g0k7xofxg9vhm,5,female,journey,4747,25442,13534,11751,2221,2115,2196,2142,3066,6397,4133,4425,1606,2297,86475,6,4,3,0,N,Y,M,B,75-100k,Y,25,perception,
jvhxwrnq6rua87esvr0h,0,female,literal,3807,11680,11684,5123,4723,8298,43768,96639,1780,6550,2898,1967,963,1829,202187,4,6,2,0,N,Y,F,HS,25-50k,Y,28,,
jyyj9nqlypvtctmcwet5,5,male,battle,9005,23906,59563,5597,7075,6528,6836,3227,2010,7142,3314,109612,7063,19911,271353,5,4,2,3,N,N,F,A,25-50k,Y,30,I believe the purpose of this experiment is to measure how different demographics choose to allocate their (possible) bonus money to a cause. Additionally I think the experiment is trying to find a correlation between the users emotions and the amount of money they choose to donate.,"Fun and interesting study, thank you!"
k7g6cl8usob7dr3sljlx,20,female,battle,11518,33191,70340,12889,6408,3231,4594,4525,2646,18346,5101,2565,1687,26437,204711,5,6,4,3,N,Y,F,B,50-75k,Y,40,,
k8l9t354g77jfk2f5v1c,50,female,journey,5957,22159,34107,5659,2581,3863,4125,3838,2201,5382,3425,25200,1093,1675,121693,5,6,3,5,N,Y,M,HS,10-25k,Y,38,Thoughts on a person donating to a cause.,
kf3zdhwxlfn2aon88z62,25,male,battle,8357,32335,67320,14502,9220,4563,4212,3980,4030,9119,4710,4855,3823,3257,175234,5,6,5,0,N,Y,M,B,100-150k,Y,41,not sure,none
kgrk6fj6qzol9dh21sl1,25,male,journey,7359,9494,10025,7736,3308,2534,2045,2092,1957,11433,2706,14618,2765,17987,96491,5,5,4,0,N,Y,F,HS,50-75k,Y,22,I think we were testing people's charity.,
kolzuhuuyzmkkzm1h1e6,20,male,battle,12538,29037,39038,12471,7415,4184,3847,3831,2135,8979,4111,63119,1544,14010,206461,5,3,4,5,N,N,M,B,25-50k,Y,30,Empathy and/or sympathy toward someone with cancer needing money for treatment and how generous people are with potential bonus money from the study.,
krgyeljgwexugrz79096,5,female,literal,63594,43838,56831,12390,4213,3600,17107,3440,5378,18450,6058,2398,1845,3350,243722,4,4,6,5,N,N,M,P,>150k,Y,35,,
kzt570lclfs6tv5csp81,0,male,battle,4005,22593,34261,15887,2834,2717,2330,2542,2242,7200,2772,1912,1026,2999,105845,5,4,3,0,N,Y,M,B,25-50k,Y,37,,
l54vg7422bd8n87qvqqt,50,female,journey,18663,61962,91299,11228,10110,3549,5312,3312,3425,9899,6523,36097,2860,19702,284455,6,6,2,3,N,Y,F,A,25-50k,Y,36,I think this study was to see the amount of empathy and what someone would donate.,
lhr5dtknf9h20pehpuap,30,female,journey,33040,26116,33275,6001,6147,5839,6062,2641,3058,9479,3779,19439,1271,8358,164808,5,5,4,4,N,Y,F,B,10-25k,Y,30,To see what people would give to someone for a donation. ,
lpe2bo5q8swy6mddg3jw,2,female,literal,5248,27436,15166,8766,3303,5831,2655,3230,2262,11988,3423,23288,9895,12442,135158,4,5,2,3,N,Y,F,B,50-75k,Y,37,To see how reading the passage would make us feel inclined to donate to that cause. ,"Thank you for allowing me to participate, I really appreciate it!"
lqs1uuekcq95yw41fad2,5,male,journey,3527,28732,45102,12718,4468,3349,5517,4148,3436,17289,4276,3279,1351,2117,139714,5,5,4,3,N,N,F,HS,50-75k,Y,35,,
lt8kstogtnaekfq05j2v,9,male,journey,3712,23655,12019,5915,10409,4512,3259,3087,2118,11876,3757,33469,1239,2780,122168,6,6,3,0,N,N,M,HS,50-75k,Y,23,How sympathetic we felt. Especially under the circumstances that we can gain more money.,
lw7sv8l258jwyzl6oobu,25,female,journey,55483,82858,57438,23318,7470,12423,7766,3453,5550,12962,3421,4271,1143,5180,283081,5,6,5,2,N,Y,M,P,25-50k,Y,38,,
m2yg1w9tzrcfn8g27t4f,0,male,battle,3550,15813,44719,13322,2907,9511,4775,2302,2623,8566,5077,8673,5614,4681,132542,5,3,3,2,N,Y,M,HS,25-50k,Y,31,Our willingness to donate.,No issues to report.
m3n6vajedrkm64695sup,10,male,battle,7742,64405,27615,19615,7407,2999,3854,2918,2710,10508,4310,19983,8271,15738,198474,5,5,4,3,N,N,M,A,25-50k,Y,45,To understand thoughts on giving to charity.,no problems
mo8b2vo0u41qj8eas2uw,20,female,literal,9125,31349,72327,10839,8870,5351,5207,4078,3694,57453,5246,27863,2879,17868,262529,6,5,4,2,N,Y,M,B,25-50k,Y,24,If you would donate if you felt someone had cancer.,
mxowb2d3vhoko36gx0jm,0,male,battle,5349,10116,23601,4271,2727,2685,7132,1802,1977,7343,2093,1647,1158,4030,76628,6,6,3,2,N,N,F,B,100-150k,Y,23,,
n1406uyk40c5u1ypvucv,25,male,literal,2394,20714,5140,8172,2059,2246,1030,3220,1970,5889,4071,3172,1389,2086,63909,3,4,3,3,N,N,M,HS,25-50k,Y,29,,
